Run,Provider,Model,Gate decision,Evidence classes,Audit-pipeline completion,Completion 95% CI,Completion numerator,Completion denominator,Completion claim use,Scenario provider errors,Audit-attempt provider errors,Scenario timeouts,Audit-attempt timeouts,Repair attempts,Scenario failure counts,Audit-attempt failure counts
agentforesight-deepseek-native-baseline,openai-compatible,deepseek-v4-flash,stress_only_until_fixed,schema_reliability; provider_api_stress,98.19%,"[96.11, 99.17]",326,332,supplementary_reliability,0,0,0,0,0,{},{}
agentforesight-paper-split-no-audit,unknown,unknown,stress_only_until_fixed,schema_reliability; provider_api_stress,100.00%,"[98.86, 100.00]",332,332,supplementary_reliability,0,0,0,0,0,{},{}
agentforesight-paper-split-official-deepseek-sidecar,deepseek-openai-compatible,deepseek-v4-flash,promote_to_full_run,schema_reliability; provider_api_stress,100.00%,"[98.86, 100.00]",332,332,supplementary_reliability,0,0,0,0,0,{},{}
asb-full-gold-deepseek-closed-loop-inline,deepseek-openai-compatible,deepseek-v4-flash,promote_to_full_run,schema_reliability; provider_api_stress,100.00%,"[92.59, 100.00]",48,48,supplementary_reliability,0,0,0,2,29,{},"{""schema_validation_error"":35,""timeout"":2}"
asb-full-gold-deepseek-closed-loop-sidecar,deepseek-openai-compatible,deepseek-v4-flash,promote_to_full_run,schema_reliability; provider_api_stress,100.00%,"[92.59, 100.00]",48,48,supplementary_reliability,0,0,0,0,21,{},"{""schema_validation_error"":24}"
asb-full-gold-deepseek-sidecar,deepseek-openai-compatible,deepseek-v4-flash,promote_to_full_run,schema_reliability; provider_api_stress,100.00%,"[92.59, 100.00]",48,48,supplementary_reliability,0,0,0,0,0,{},{}
asb-full-gold-minimax-m27-sidecar,openai-compatible,minimax-m27,promote_to_full_run,schema_reliability; provider_api_stress,100.00%,"[92.59, 100.00]",48,48,supplementary_reliability,0,0,0,0,22,{},"{""json_parse_error"":2,""permission_delta_error"":2,""schema_validation_error"":18}"
asb-full-gold-ollama-gemma4-sidecar,ollama-openai-compatible,gemma4:12b,local_open_source_reliability_baseline,schema_reliability; provider_api_stress,85.42%,"[72.83, 92.75]",41,48,supplementary_reliability,0,0,0,0,48,"{""schema_validation_error"":7}","{""json_parse_error"":16,""schema_validation_error"":39}"
asb-full-gold-qwen35-sidecar,qwen-openai-compatible,qwen3.5,promote_to_full_run,schema_reliability; provider_api_stress,100.00%,"[92.59, 100.00]",48,48,supplementary_reliability,0,0,0,0,0,{},{}
converse-full-gold-deepseek-closed-loop-inline,deepseek-openai-compatible,deepseek-v4-flash,promote_to_full_run,schema_reliability; provider_api_stress,100.00%,"[92.59, 100.00]",48,48,supplementary_reliability,0,0,0,2,25,{},"{""schema_validation_error"":31,""timeout"":2}"
converse-full-gold-deepseek-closed-loop-sidecar,deepseek-openai-compatible,deepseek-v4-flash,promote_to_full_run,schema_reliability; provider_api_stress,100.00%,"[92.59, 100.00]",48,48,supplementary_reliability,0,0,0,0,16,{},"{""schema_validation_error"":21}"
converse-full-gold-deepseek-sidecar,deepseek-openai-compatible,deepseek-v4-flash,promote_to_full_run,schema_reliability; provider_api_stress,100.00%,"[92.59, 100.00]",48,48,supplementary_reliability,0,0,0,0,0,{},{}
converse-full-gold-minimax-m27-sidecar,openai-compatible,minimax-m27,promote_to_full_run,schema_reliability; provider_api_stress,95.83%,"[86.02, 98.85]",46,48,supplementary_reliability,0,0,0,0,42,"{""json_parse_error"":1,""schema_validation_error"":1}","{""enum_validation_error"":1,""json_parse_error"":12,""permission_delta_error"":3,""schema_validation_error"":28}"
converse-full-gold-ollama-gemma4-sidecar,ollama-openai-compatible,gemma4:12b,local_open_source_reliability_baseline,schema_reliability; provider_api_stress,37.50%,"[25.22, 51.64]",18,48,supplementary_reliability,0,0,0,0,616,"{""json_parse_error"":30}","{""json_parse_error"":620,""schema_validation_error"":38}"
converse-full-gold-qwen35-sidecar,qwen-openai-compatible,qwen3.5,promote_to_full_run,schema_reliability; provider_api_stress,100.00%,"[92.59, 100.00]",48,48,supplementary_reliability,0,0,0,0,3,{},"{""permission_delta_error"":1,""schema_validation_error"":2}"
