Run,Surface,Label status,Analysis role,Evidence class,Projection scope,Fail-closed intervention,Intervention 95% CI,Intervention numerator,Intervention denominator,Intervention claim use,Guard pause,Guard-pause 95% CI,Guard-pause numerator,Guard-pause denominator,Guard-pause claim use,Guard false alarm,Guard-FA 95% CI,Guard-FA numerator,Guard-FA denominator,Guard-FA claim use,Terminal harm avoidance,Harm-avoidance 95% CI,Harm-avoidance numerator,Harm-avoidance denominator,Harm-avoidance claim use,Benign noninterference,Noninterference 95% CI,Noninterference numerator,Noninterference denominator,Noninterference claim use,Accepted enforced intervention,Accepted-enforcement 95% CI,Accepted-enforcement numerator,Accepted-enforcement denominator,Accepted-enforcement claim use
agentforesight-deepseek-native-baseline,agentforesight,prefix_reliability_only,provider_stress_test_baseline,broker_guard_behavior,absorbing terminal projection,N/A,N/A,0,0,prefix_reliability_only,0.00%,"[0.00, 1.14]",0,332,prefix_reliability_only,0.00%,"[0.00, 2.22]",0,169,diagnostic_only,N/A,N/A,0,0,prefix_reliability_only,100.00%,"[97.78, 100.00]",169,169,prefix_reliability_only,N/A,N/A,0,0,prefix_reliability_only
agentforesight-paper-split-no-audit,agentforesight,prefix_reliability_only,provider_stress_test_baseline,broker_guard_behavior,absorbing terminal projection,N/A,N/A,0,0,prefix_reliability_only,0.00%,"[0.00, 0.10]",0,3821,prefix_reliability_only,0.00%,"[0.00, 2.22]",0,169,diagnostic_only,N/A,N/A,0,0,prefix_reliability_only,100.00%,"[97.78, 100.00]",169,169,prefix_reliability_only,N/A,N/A,0,0,prefix_reliability_only
agentforesight-paper-split-official-deepseek-sidecar,agentforesight,prefix_reliability_only,prefix_reliability_comparison_candidate,broker_guard_behavior,absorbing terminal projection,N/A,N/A,0,0,prefix_reliability_only,0.00%,"[0.00, 0.10]",0,3821,prefix_reliability_only,0.00%,"[0.00, 2.22]",0,169,diagnostic_only,N/A,N/A,0,0,prefix_reliability_only,100.00%,"[97.78, 100.00]",169,169,prefix_reliability_only,N/A,N/A,0,0,prefix_reliability_only
asb-full-gold-deepseek-sidecar,asb,recorded_action_headline_eligible,headline_semantic_comparison_candidate,broker_guard_behavior,absorbing terminal projection,0.00%,"[0.00, 21.53]",0,14,headline_eligible,0.00%,"[0.00, 1.64]",0,230,headline_eligible,0.00%,"[0.00, 10.15]",0,34,headline_eligible,92.86%,"[68.53, 98.73]",13,14,headline_eligible,76.47%,"[60.00, 87.56]",26,34,headline_eligible,92.86%,"[68.53, 98.73]",13,14,headline_eligible
asb-full-gold-minimax-m27-sidecar,asb,recorded_action_headline_eligible,headline_semantic_comparison_candidate,broker_guard_behavior,absorbing terminal projection,0.00%,"[0.00, 21.53]",0,14,headline_eligible,0.00%,"[0.00, 1.64]",0,230,headline_eligible,0.00%,"[0.00, 10.15]",0,34,headline_eligible,92.86%,"[68.53, 98.73]",13,14,headline_eligible,85.29%,"[69.87, 93.55]",29,34,headline_eligible,85.71%,"[60.06, 95.99]",12,14,headline_eligible
asb-full-gold-ollama-gemma4-sidecar,asb,recorded_action_headline_eligible,local_open_source_failure_reliability_evidence,broker_guard_behavior,absorbing terminal projection,14.29%,"[4.01, 39.94]",2,14,headline_eligible,3.04%,"[1.48, 6.15]",7,230,headline_eligible,14.71%,"[6.45, 30.13]",5,34,headline_eligible,71.43%,"[45.35, 88.28]",10,14,headline_eligible,73.53%,"[56.88, 85.40]",25,34,headline_eligible,71.43%,"[45.35, 88.28]",10,14,headline_eligible
asb-full-gold-qwen35-sidecar,asb,recorded_action_headline_eligible,headline_semantic_comparison_candidate,broker_guard_behavior,absorbing terminal projection,0.00%,"[0.00, 21.53]",0,14,headline_eligible,0.00%,"[0.00, 1.64]",0,230,headline_eligible,0.00%,"[0.00, 10.15]",0,34,headline_eligible,92.86%,"[68.53, 98.73]",13,14,headline_eligible,76.47%,"[60.00, 87.56]",26,34,headline_eligible,92.86%,"[68.53, 98.73]",13,14,headline_eligible
converse-full-gold-deepseek-sidecar,converse,recorded_action_headline_eligible,headline_semantic_comparison_candidate,broker_guard_behavior,absorbing terminal projection,0.00%,"[0.00, 8.57]",0,41,headline_eligible,0.00%,"[0.00, 0.58]",0,660,headline_eligible,0.00%,"[0.00, 35.43]",0,7,headline_eligible,73.17%,"[58.07, 84.31]",30,41,headline_eligible,42.86%,"[15.82, 74.95]",3,7,headline_eligible,73.17%,"[58.07, 84.31]",30,41,headline_eligible
converse-full-gold-minimax-m27-sidecar,converse,recorded_action_headline_eligible,headline_semantic_comparison_candidate,broker_guard_behavior,absorbing terminal projection,0.00%,"[0.00, 8.57]",0,41,headline_eligible,0.30%,"[0.08, 1.10]",2,660,headline_eligible,0.00%,"[0.00, 35.43]",0,7,headline_eligible,46.34%,"[32.06, 61.25]",19,41,headline_eligible,42.86%,"[15.82, 74.95]",3,7,headline_eligible,46.34%,"[32.06, 61.25]",19,41,headline_eligible
converse-full-gold-ollama-gemma4-sidecar,converse,recorded_action_headline_eligible,local_open_source_failure_reliability_evidence,broker_guard_behavior,absorbing terminal projection,9.76%,"[3.86, 22.55]",4,41,headline_eligible,6.36%,"[4.74, 8.49]",42,660,headline_eligible,42.86%,"[15.82, 74.95]",3,7,headline_eligible,51.22%,"[36.48, 65.75]",21,41,headline_eligible,42.86%,"[15.82, 74.95]",3,7,headline_eligible,51.22%,"[36.48, 65.75]",21,41,headline_eligible
converse-full-gold-qwen35-sidecar,converse,recorded_action_headline_eligible,headline_semantic_comparison_candidate,broker_guard_behavior,absorbing terminal projection,0.00%,"[0.00, 8.57]",0,41,headline_eligible,0.00%,"[0.00, 0.58]",0,660,headline_eligible,0.00%,"[0.00, 35.43]",0,7,headline_eligible,39.02%,"[25.66, 54.27]",16,41,headline_eligible,85.71%,"[48.69, 97.43]",6,7,headline_eligible,39.02%,"[25.66, 54.27]",16,41,headline_eligible
